Country Name,Country Code,Series,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,18.15768,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.44885,..,..,..,..,..,..,43.01972,..,..
Albania,ALB,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.71298,..,..,..,..,..,..,95.93864,..,..,96.8453,97.24697,..,..,..,..,..,98.14115,..,..
Algeria,DZA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49.63088,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.8735,..,..,..,72.64868,..,75.13605,..,..,..,..,..,..,..,..,..,81.40784,..,..
American Samoa,ASM,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,97.34416,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.40542,..,..,..,..,..,..,..,..,..,..,..,..,66.03011,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.95,..,..,..,..,..,..,..,..,..,98.95,..,..,..,98.95,..,..,..,..,..
Arab World,ARB,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,44.90297,45.26824,45.68688,46.20202,46.76899,47.41513,47.62678,48.47257,49.32794,50.30286,50.89021,51.87934,52.78355,53.75409,54.85839,55.79609,56.5178,57.35207,58.33942,59.80857,60.54454,61.72372,62.75603,63.68453,64.87778,66.04557,68.68774,69.63666,69.2184,68.13701,68.62272,69.62151,68.30745,69.24863,71.06061,74.43569,74.04358,75.71389,73.49939,74.8408,75.76682,72.86909,73.11425,..
Argentina,ARG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,93.91286,..,..,..,..,..,..,..,..,..,..,96.04072,..,..,..,..,..,..,..,..,..,97.19331,..,..,..,..,98.6108,..,..,98.98342,98.95497,99.10833,99.10523,99.12195,98.99389,99.17996,99.12501,..,99.00387,..,..
Armenia,ARM,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.75196,..,..,..,..,..,..,..,..,..,..,..,99.40016,..,..,..,..,..,..,..,..,..,99.74441,..,..,..,..,..,99.73607,..,..,..
Aruba,ABW,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.29125,..,..,..,..,..,..,..,..,..,96.82264,..,..,..,..,..,..,..,97.80742,..,..
Australia,AUS,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.7918,..,..,..,..,..,..,..,99.59319,..,99.75984,99.77114,99.77863,99.77577,99.78936,99.78899,99.78806,99.79006,99.79123,..,..,..
"Bahamas, The",BHS,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,69.75351,..,..,..,..,..,..,..,..,..,84.01383,..,..,..,..,..,..,..,..,..,86.54874,..,..,..,..,..,..,..,..,90.9774,..,..,..,..,..,97.06668,97.40389,97.46419,..,..
Bangladesh,BGD,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,29.22723,..,..,..,..,..,..,..,..,..,35.3193,..,..,..,..,..,..,..,..,..,47.4855,..,..,..,..,..,46.6636,..,..,..,58.76918,57.86075,61.01554,61.0933,65.13733,72.75872,72.89297,73.9122,74.68446,..
Barbados,BRB,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,99.26808,..,..,..,..,..,..,..,..,..,..,..,..,..,99.6,..,..,..,..,..,..,..,..,..,99.6,..,..,..,..,..,..,..,..,..,99.6,..,..,..,..,..,..,..,..,..,99.6,..,..,..,..,..,..
Belarus,BLR,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.88337,..,..,..,..,..,..,..,..,..,99.59073,..,..,..,..,..,..,..,..,..,99.61706,..,..,..,..,..,..,..,..,99.75656,..,..
Belgium,BEL,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.29842,..,..,..,..,..,..,..,..,76.90298,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,16.48273,..,..,..,..,..,..,..,..,..,..,..,..,27.24517,..,..,..,..,..,..,..,..,..,34.65785,..,..,..,28.70211,..,..,..,..,..,32.94882,..,..,..,..,..,42.3624,..,..
Bermuda,BMU,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.81469,..,..,..,..,..,..,55.31756,..,..,..,..,66.56115,..,..,..
Bolivia,BOL,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,63.20815,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.99177,..,..,..,..,..,..,..,..,86.72367,..,..,..,..,..,90.74347,90.69811,91.16783,..,92.22615,94.46057,..,..,92.45508,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.06359,..,..,..,..,..,..,..,..,96.6631,..,..,..,..,..,..,..,..,..,..,98.14204,..,96.99177,..,..,..,..,..,..,..
